Epoch,Accuracy,Precision_micro,Precision_macro,Precision_w,Recall_micro,Recall_macro,Recall_w,F1_micro,F1_macro,F1_w,AUC_macro
1,0.507829181,0.507829181,0.374085395,0.433677558,0.507829181,0.443417228,0.507829181,0.507829181,0.393650938,0.453558321,0
2,0.53594306,0.53594306,0.364818167,0.433319863,0.53594306,0.451675337,0.53594306,0.53594306,0.380819191,0.451281551,0
3,0.534875445,0.534875445,0.454476934,0.521494895,0.534875445,0.44900824,0.534875445,0.534875445,0.412860829,0.489297459,0
4,0.560498221,0.560498221,0.503144059,0.57091849,0.560498221,0.490589085,0.560498221,0.560498221,0.436970173,0.496450674,0
5,0.585409253,0.585409253,0.603577305,0.630086436,0.585409253,0.521437496,0.585409253,0.585409253,0.469997265,0.537785318,0
6,0.585409253,0.585409253,0.448121685,0.502688797,0.585409253,0.515582826,0.585409253,0.585409253,0.459280341,0.52092671,0
7,0.588967972,0.588967972,0.492003293,0.570710587,0.588967972,0.528556129,0.588967972,0.588967972,0.470133454,0.53735529,0
8,0.609252669,0.609252669,0.499695209,0.566637884,0.609252669,0.526577527,0.609252669,0.609252669,0.499423895,0.571786586,0
9,0.58113879,0.58113879,0.466535019,0.529516074,0.58113879,0.501664408,0.58113879,0.58113879,0.460854361,0.527450622,0
10,0.601067616,0.601067616,0.48068202,0.554177867,0.601067616,0.537390715,0.601067616,0.601067616,0.47477254,0.540428256,0
11,0.591459075,0.591459075,0.461182205,0.531136983,0.591459075,0.521121481,0.591459075,0.591459075,0.461282234,0.526013903,0
12,0.595373665,0.595373665,0.481869042,0.550548008,0.595373665,0.519100804,0.595373665,0.595373665,0.495375134,0.56701476,0
13,0.585765125,0.585765125,0.564502144,0.606096545,0.585765125,0.494617126,0.585765125,0.585765125,0.466496378,0.545649306,0
14,0.601067616,0.601067616,0.513165902,0.584763187,0.601067616,0.518030906,0.601067616,0.601067616,0.467763364,0.5357676,0
15,0.617081851,0.617081851,0.536969662,0.594876407,0.617081851,0.549557943,0.617081851,0.617081851,0.513327943,0.584203692,0
16,0.625622776,0.625622776,0.500281338,0.572510485,0.625622776,0.545484897,0.625622776,0.625622776,0.517032342,0.591939054,0
17,0.617081851,0.617081851,0.506244274,0.578973163,0.617081851,0.540005355,0.617081851,0.617081851,0.505836476,0.577116551,0
18,0.627046263,0.627046263,0.498048448,0.571544215,0.627046263,0.554207466,0.627046263,0.627046263,0.520505975,0.59418487,0
19,0.628113879,0.628113879,0.579179094,0.625326792,0.628113879,0.55093417,0.628113879,0.628113879,0.519593019,0.590377832,0
20,0.625978648,0.625978648,0.58903436,0.626222762,0.625978648,0.564562619,0.625978648,0.625978648,0.538407297,0.596268634,0
21,0.635231317,0.635231317,0.594757728,0.630811021,0.635231317,0.570292936,0.635231317,0.635231317,0.545435803,0.604402083,0
22,0.630960854,0.630960854,0.599052614,0.633694916,0.630960854,0.551325244,0.630960854,0.630960854,0.526975331,0.594519667,0
23,0.648398577,0.648398577,0.55890747,0.623115018,0.648398577,0.593744536,0.648398577,0.648398577,0.558242213,0.616493948,0
24,0.641637011,0.641637011,0.599923605,0.64138315,0.641637011,0.584553747,0.641637011,0.641637011,0.563001957,0.62234354,0
25,0.672953737,0.672953737,0.629284436,0.669372164,0.672953737,0.615620695,0.672953737,0.672953737,0.597415327,0.653819689,0
26,0.629181495,0.629181495,0.566237674,0.619662516,0.629181495,0.554449499,0.629181495,0.629181495,0.53650957,0.605282009,0
27,0.641281139,0.641281139,0.61618642,0.651314564,0.641281139,0.566743679,0.641281139,0.641281139,0.56681779,0.627428746,0
28,0.653736655,0.653736655,0.613778065,0.660759192,0.653736655,0.59623623,0.653736655,0.653736655,0.570025583,0.618504658,0
29,0.683629893,0.683629893,0.646488509,0.681761846,0.683629893,0.61129689,0.683629893,0.683629893,0.599947754,0.660943506,0
30,0.685409253,0.685409253,0.629705861,0.675093334,0.685409253,0.62554659,0.685409253,0.685409253,0.607415648,0.666599221,0
31,0.63594306,0.63594306,0.590822634,0.637969225,0.63594306,0.565165209,0.63594306,0.63594306,0.561684629,0.624118513,0
32,0.659074733,0.659074733,0.629040352,0.664783179,0.659074733,0.583249416,0.659074733,0.659074733,0.577916605,0.638286415,0
33,0.669039146,0.669039146,0.647773928,0.679555698,0.669039146,0.612187031,0.669039146,0.669039146,0.590758801,0.646227213,0
34,0.659074733,0.659074733,0.635024935,0.664772963,0.659074733,0.583750454,0.659074733,0.659074733,0.578945171,0.638048412,0
35,0.672597865,0.672597865,0.661951517,0.692233705,0.672597865,0.590618857,0.672597865,0.672597865,0.582079771,0.645616384,0
36,0.690747331,0.690747331,0.654405807,0.692798238,0.690747331,0.624314652,0.690747331,0.690747331,0.607114523,0.667461257,0
37,0.682206406,0.682206406,0.663961032,0.695269191,0.682206406,0.605905786,0.682206406,0.682206406,0.601558717,0.662484935,0
38,0.680427046,0.680427046,0.656821934,0.696413912,0.680427046,0.610941482,0.680427046,0.680427046,0.60720628,0.662487049,0
39,0.650177936,0.650177936,0.659841129,0.694472612,0.650177936,0.564985535,0.650177936,0.650177936,0.552079437,0.619733006,0
40,0.661209964,0.661209964,0.634497958,0.671400204,0.661209964,0.596417312,0.661209964,0.661209964,0.582338132,0.639311291,0
41,0.685053381,0.685053381,0.647651085,0.686184018,0.685053381,0.620792434,0.685053381,0.685053381,0.621548935,0.674865783,0
42,0.701067616,0.701067616,0.663027828,0.701527692,0.701067616,0.635661647,0.701067616,0.701067616,0.639571155,0.692858866,0
43,0.686476868,0.686476868,0.652766594,0.69000039,0.686476868,0.617380197,0.686476868,0.686476868,0.615294711,0.672949778,0
44,0.680427046,0.680427046,0.683154569,0.710975123,0.680427046,0.608263126,0.680427046,0.680427046,0.611917845,0.666148874,0
45,0.660498221,0.660498221,0.61013677,0.658476612,0.660498221,0.621334156,0.660498221,0.660498221,0.591881912,0.643240175,0
46,0.685765125,0.685765125,0.665042922,0.702422238,0.685765125,0.624479374,0.685765125,0.685765125,0.613704066,0.669182063,0
47,0.718149466,0.718149466,0.674875003,0.712235773,0.718149466,0.67020377,0.718149466,0.718149466,0.670383571,0.713622616,0
48,0.679003559,0.679003559,0.688833435,0.71453985,0.679003559,0.599008174,0.679003559,0.679003559,0.592779917,0.657908697,0
49,0.687188612,0.687188612,0.683389379,0.706726772,0.687188612,0.6108115,0.687188612,0.687188612,0.606289192,0.668106005,0
50,0.687900356,0.687900356,0.659279676,0.699383552,0.687900356,0.641646615,0.687900356,0.687900356,0.627446527,0.675216478,0
51,0.625266904,0.625266904,0.648712894,0.71090648,0.625266904,0.600751532,0.625266904,0.625266904,0.561949682,0.61595308,0
52,0.703202847,0.703202847,0.689952353,0.722609649,0.703202847,0.641600351,0.703202847,0.703202847,0.637310732,0.688911866,0
53,0.719928826,0.719928826,0.68889723,0.724116238,0.719928826,0.670326401,0.719928826,0.719928826,0.673859926,0.716338702,0
54,0.702491103,0.702491103,0.684826323,0.714151095,0.702491103,0.633140578,0.702491103,0.702491103,0.627623423,0.684132278,0
55,0.725622776,0.725622776,0.692116258,0.723809894,0.725622776,0.664942168,0.725622776,0.725622776,0.661768929,0.711852845,0
56,0.736298932,0.736298932,0.717197615,0.743185884,0.736298932,0.682224556,0.736298932,0.736298932,0.685102184,0.728284925,0
57,0.667615658,0.667615658,0.666481144,0.704806785,0.667615658,0.60789265,0.667615658,0.667615658,0.606409493,0.654976861,0
58,0.685409253,0.685409253,0.676133362,0.695040611,0.685409253,0.620683365,0.685409253,0.685409253,0.616913927,0.666866223,0
59,0.739145907,0.739145907,0.726504474,0.753701597,0.739145907,0.684587741,0.739145907,0.739145907,0.692005129,0.733357518,0
60,0.725622776,0.725622776,0.702772603,0.728265713,0.725622776,0.668648431,0.725622776,0.725622776,0.669013838,0.715730081,0
61,0.7113879,0.7113879,0.691957588,0.728189267,0.7113879,0.66776079,0.7113879,0.7113879,0.662425869,0.706946165,0
62,0.730604982,0.730604982,0.712443342,0.736441668,0.730604982,0.677808041,0.730604982,0.730604982,0.682734191,0.72505541,0
63,0.724199288,0.724199288,0.717657343,0.742048093,0.724199288,0.664272882,0.724199288,0.724199288,0.668229741,0.713729492,0
64,0.746619217,0.746619217,0.719970921,0.746470784,0.746619217,0.696348462,0.746619217,0.746619217,0.696726908,0.739136507,0
65,0.709252669,0.709252669,0.690716918,0.728580714,0.709252669,0.671995958,0.709252669,0.709252669,0.667341885,0.706511871,0
66,0.72455516,0.72455516,0.704041161,0.730335343,0.72455516,0.663618911,0.72455516,0.72455516,0.664565718,0.712918032,0
67,0.723131673,0.723131673,0.697272369,0.736420627,0.723131673,0.684529158,0.723131673,0.723131673,0.679756801,0.720951816,0
68,0.718149466,0.718149466,0.697243293,0.730107792,0.718149466,0.663438873,0.718149466,0.718149466,0.659105457,0.707422444,0
69,0.70747331,0.70747331,0.682796461,0.713888523,0.70747331,0.657233381,0.70747331,0.70747331,0.658786332,0.70098102,0
70,0.734875445,0.734875445,0.718665291,0.740968155,0.734875445,0.675838745,0.734875445,0.734875445,0.682961355,0.727762761,0
71,0.75480427,0.75480427,0.733570135,0.760542067,0.75480427,0.708608118,0.75480427,0.75480427,0.711652236,0.751347364,0
72,0.753024911,0.753024911,0.732437005,0.76070101,0.753024911,0.706189512,0.753024911,0.753024911,0.712385378,0.74976477,0
73,0.754448399,0.754448399,0.723817919,0.757029169,0.754448399,0.721142162,0.754448399,0.754448399,0.72065322,0.754327748,0
74,0.749822064,0.749822064,0.721391139,0.75528765,0.749822064,0.713902555,0.749822064,0.749822064,0.711283541,0.747525295,0
75,0.750533808,0.750533808,0.721187498,0.751091519,0.750533808,0.713655505,0.750533808,0.750533808,0.716629203,0.750181195,0
76,0.751957295,0.751957295,0.732826139,0.760912962,0.751957295,0.712119722,0.751957295,0.751957295,0.715314269,0.751537154,0
77,0.759786477,0.759786477,0.732519183,0.764567707,0.759786477,0.721537658,0.759786477,0.759786477,0.724010929,0.759822361,0
78,0.765480427,0.765480427,0.740926395,0.768693707,0.765480427,0.729114475,0.765480427,0.765480427,0.732165234,0.764494472,0
79,0.756227758,0.756227758,0.735656523,0.760581391,0.756227758,0.713658072,0.756227758,0.756227758,0.718878306,0.753862548,0
80,0.762633452,0.762633452,0.762512242,0.777482036,0.762633452,0.714897974,0.762633452,0.762633452,0.724307845,0.757900282,0
81,0.754092527,0.754092527,0.736531414,0.761548769,0.754092527,0.704537457,0.754092527,0.754092527,0.712283994,0.75017343,0
82,0.74911032,0.74911032,0.737322173,0.761773508,0.74911032,0.701989166,0.74911032,0.74911032,0.706821981,0.745262257,0
83,0.766192171,0.766192171,0.750794849,0.770197571,0.766192171,0.720186847,0.766192171,0.766192171,0.729301407,0.763598829,0
84,0.75480427,0.75480427,0.737007282,0.763756362,0.75480427,0.717609629,0.75480427,0.75480427,0.717299435,0.751727322,0
85,0.77366548,0.77366548,0.751480248,0.777809799,0.77366548,0.73865933,0.77366548,0.77366548,0.740756895,0.772784671,0
86,0.777224199,0.777224199,0.75020145,0.777981579,0.777224199,0.74487575,0.777224199,0.777224199,0.746563498,0.776915521,0
87,0.77366548,0.77366548,0.74782919,0.777576019,0.77366548,0.736962136,0.77366548,0.77366548,0.739406847,0.772857938,0
88,0.776512456,0.776512456,0.753503706,0.776934818,0.776512456,0.739707819,0.776512456,0.776512456,0.744728496,0.775378079,0
89,0.76797153,0.76797153,0.74954347,0.770827102,0.76797153,0.726518248,0.76797153,0.76797153,0.734197321,0.766424605,0
90,0.782918149,0.782918149,0.756647852,0.783532137,0.782918149,0.74778978,0.782918149,0.782918149,0.750639837,0.781953555,0
91,0.769395018,0.769395018,0.739883182,0.77002963,0.769395018,0.736308795,0.769395018,0.769395018,0.737880818,0.769489549,0
92,0.781850534,0.781850534,0.757756835,0.784595472,0.781850534,0.748928479,0.781850534,0.781850534,0.751829359,0.781687883,0
93,0.777935943,0.777935943,0.754327181,0.780356612,0.777935943,0.746255156,0.777935943,0.777935943,0.748025656,0.777210339,0
94,0.78113879,0.78113879,0.762998136,0.78526848,0.78113879,0.746400654,0.78113879,0.78113879,0.750978508,0.779816055,0
95,0.776156584,0.776156584,0.749800561,0.776703551,0.776156584,0.741800723,0.776156584,0.776156584,0.745124708,0.775782888,0
96,0.782206406,0.782206406,0.760732145,0.782903227,0.782206406,0.745327626,0.782206406,0.782206406,0.751190855,0.781112133,0
97,0.775088968,0.775088968,0.757276314,0.779616981,0.775088968,0.735957064,0.775088968,0.775088968,0.742534269,0.773807215,0
98,0.785409253,0.785409253,0.765608827,0.786753212,0.785409253,0.749647854,0.785409253,0.785409253,0.755958785,0.784724106,0
99,0.781850534,0.781850534,0.75890949,0.782567664,0.781850534,0.747801288,0.781850534,0.781850534,0.751895611,0.780878434,0
100,0.781494662,0.781494662,0.75861458,0.783715427,0.781494662,0.745904153,0.781494662,0.781494662,0.750311402,0.780768522,0
